,content,id,lat,location,lon,time,user,user_id
10,@growingwisdom @WX1BOX Just turning to snow in Medfield,971542372680192000,,"Boston, MA",,2018-03-08 00:25:26,glomanno,144510223
100,@AMSweather Oh man its gonna get ugly quick. Be safe snow fighter!,971535011122991104,,"Boston, MA",,2018-03-07 23:56:11,XLBOSTON,25474113
1000,"Okay, since it's raining in #boston, does this mean we're getting no snow?",971476651874902016,,"Boston, MA",,2018-03-07 20:04:17,unabridgedchick,175035874
1005,"Weather: Snow possible anywhere from 0 to 145 inches. Maybe. Could start at 5,6,7,8,9oclock. Maybe today or maybe n… https://t.co/SPBrTG3AoJ",971476019692670976,,"Boston, MA",,2018-03-07 20:01:46,CamiFortier,2996454020
1007,Decided to work from home but there’s no snow,971475799227486208,,"Boston, MA",,2018-03-07 20:00:54,junkyardxjosh,220533439
1009,FYI! Stay safe in the snow! https://t.co/n6GNWXnvTm,971475684865531904,,"Boston, MA",,2018-03-07 20:00:27,SuffolkAHE,1115133415
1010,RT @AbbeyNBCBoston: Here we snow in #Worcester! Starting to accumulate fast. @NBC10Boston https://t.co/3otb7H37Yy,971475669485084672,,"Boston, MA",,2018-03-07 20:00:23,NBC10Boston,4746090250
1011,Snow raining here. https://t.co/Re9YOKSSAm,971475644386283520,,"Boston, MA",,2018-03-07 20:00:17,spcspcwriter,910171155922898944
1014,Here we snow in #Worcester! Starting to accumulate fast. @NBC10Boston https://t.co/3otb7H37Yy,971475388487684096,,"Boston, MA",,2018-03-07 19:59:16,AbbeyNBCBoston,23136208
1015,#MATraffic The Phone Force informs us of weather related slowdowns on 93 north &amp; south from the border past Exit 4.… https://t.co/HpcOLKkvUn,971475255133949952,,"Boston, MA",,2018-03-07 19:58:44,WBZTraffic,410269419
1016,me trying to act like we’re not getting 2 inches of snow https://t.co/rtPmzn4NiQ,971475247047340032,,"Boston, MA",,2018-03-07 19:58:42,onlyforcameronn,2722912233
1018,How much snow does BOS end up with?,971475118902964224,,Other Location,,2018-03-07 19:58:12,BostonMetroWx,717095249810735104
1021,"Getting prepped for the heavy, wet snow falling in #Fitchburg!! 
👇🏽👇🏽👇🏽👇🏽 https://t.co/l41pfstXPg",971474511571947520,,"Boston, MA",,2018-03-07 19:55:47,susantran,17889737
1023,@AlmostShawn Stay safe. The storm is just starting now. They said thunder snow I can't wait!,971474415652352000,,Other Location in MA,,2018-03-07 19:55:24,MechanicGurl04,37562591
103,"Be prepared as snow hits #Boston. Sign up for emergency alerts to get notified by phone, text, &amp; email in the event… https://t.co/oidwdTludc",971534659770355712,,"Boston, MA",,2018-03-07 23:54:47,BostonBTD,706930983380062208
1033,"Reminder that tonight's presentation on #docklessBikeshare is canceled due to snow. Rescheduled for early April, st… https://t.co/II9veGbZKv",971473434189467648,,"Boston, MA",,2018-03-07 19:51:30,mixmastermully,17401585
1034,"Can’t wait to stand around at work for hours, deal with rude ass customers only to leave with less than $20, and pr… https://t.co/rcl7x9g8G3",971473427608604672,,"Somerville, MA",,2018-03-07 19:51:28,caterrinaa,458567204
1036,Here's a good timeline of the Nor'Easter  https://t.co/7nwOjVuyeg,971473388190470144,,"Boston, MA",,2018-03-07 19:51:19,MikeLaCrosseWBZ,22873437
1037,"Weird, this is the highest snow totals I've seen for metro Boston. https://t.co/suA7fQpRrQ",971473290492628992,,"Boston, MA",,2018-03-07 19:50:56,EricaMouraNEWS,88940328
1038,"Going live in 5, big snow storm coming BlessRNG I don't lose power https://t.co/8u3vWnxnfw https://t.co/sxMS5UrEry",971473277142142976,,"Boston, MA",,2018-03-07 19:50:53,TheDethscythe,2403133063
1039,I recall the last time I recall #thundersnow - I went in to clear skies for a final exam at @Northeastern - took th… https://t.co/znVOojvGk0,971473171462443008,,"Boston, MA",,2018-03-07 19:50:27,Rawnchie14,95951181
1040,If you sit like a statue in downtown Worcester you’re starting to get snow covered but still waiting for the worst… https://t.co/kCZWvGiYxy,971473157965008896,,"Boston, MA",,2018-03-07 19:50:24,dhausleon7,28869632
1048,"With this #noreaster forecast to bring up to 10 inches of snow to the #Boston area, it's a good idea to refresh you… https://t.co/amh5Xf5Jf0",971472653600030720,,"Boston, MA",,2018-03-07 19:48:24,StoneInjury,1451875718
1049,@dugday1960 Hmmm and no snow?? Odd. Its coming down here now in Massachusetts.,971472570078900224,,"Boston, MA",,2018-03-07 19:48:04,spcauthor,922537240537919488
1051,@growingwisdom It’s pouring in Arlington. It just doesn’t seem like it’ll get cold enough for this to change to snow? Am I wrong?,971472497316126720,,"Boston, MA",,2018-03-07 19:47:47,kckourtz,274100574
1053,"Update: The latest forecast for today's nor'easter calls for up to 10 inches of snow in Boston, which had hoped to… https://t.co/RbZDHy3oVu",971472384866779136,,"Boston, MA",,2018-03-07 19:47:20,Boston_CP,70291924
1057,It is officially snowing in #Fitchburg!!! It was like a faucet. Nothing then snow! #Snow #StormCoverage #NBC10Boston https://t.co/RlUdvdTRJN,971472267787071488,,"Boston, MA",,2018-03-07 19:46:52,susantran,17889737
106,@PeteNBCBoston All rain in needham at 7pm. Is all hope lost for a snow day? 😬,971534554094886912,,"Boston, MA",,2018-03-07 23:54:22,revsuzanne,20097217
1063,Snow totals have been nudged up in some areas and the winter storm warning has been expanded to cover Boston. Lates… https://t.co/u8X1zVREw3,971471916740509696,,"Boston, MA",,2018-03-07 19:45:28,7News,16558796
1064,"Updated snow forecast map. Heading to #Lexington for storm updates at 5, 5:30, 6 on #WBZ! https://t.co/LMPHXKDFZW",971471913221541888,,"Boston, MA",,2018-03-07 19:45:27,PamelaWBZ4,53809358
1067,@wwwadventures Give it a few hours Jeff- it’s going to snow hard.  6pm to midnight will be intense,971471625496514560,,"Boston, MA",,2018-03-07 19:44:19,Met_CindyFitz,115536854
1069,My kid may get her snow day after all. https://t.co/FUD4ktVPWe,971471064755826688,,"Somerville, MA",,2018-03-07 19:42:05,mamajaguar1791,15537791
107,@universalhub When was the last time before last week that New England had a nor’easter with little to no snow?,971534551695622144,,"Boston, MA",,2018-03-07 23:54:22,PBandSpecs,30585444
1073,"So when could snow move into #Boston?

@BarryWBZ says the city will see a mix of rain/snow today, but as sun sets i… https://t.co/hdKfPjvUNr",971470827458912256,,"Boston, MA",,2018-03-07 19:41:08,wbznewsradio,26513255
1075,RT @AEScott2: @MissionAE will close 1 hr early at 7pm tonight (3/7) due to incoming snow. All classes will run as scheduled through 7pm. We…,971470804755107840,,Other Location in MA,,2018-03-07 19:41:03,MissionAE,83658478
1077,@MissionAE will close 1 hr early at 7pm tonight (3/7) due to incoming snow. All classes will run as scheduled throu… https://t.co/vU0RoLX9v4,971470727907069952,,"Boston, MA",,2018-03-07 19:40:45,AEScott2,757343923
108,I can’t wait for there not to be any snow tomorrow,971534531592380416,,"Boston, MA",,2018-03-07 23:54:17,siobhan_brennan,353489662
1084,"RT @Deysi_Garcia: Wowww, where's this snow y'all promised ?",971470199055634432,,"Boston, MA",,2018-03-07 19:38:39,GoodVibeees_,203934430
1087,@ericfisher Did the snow totals for the Brockton area increase? Just saw your weather update and it looked like it did?,971469698520047616,,"Boston, MA",,2018-03-07 19:36:39,CraigHolland71,820379850
109,@Helghast73 You better be right or I'm packing some snow and sending it to you 😂,971534391171256320,,"Boston, MA",,2018-03-07 23:53:43,HeartEyes4Brady,119891888
1090,"Snow at the ACCT is not a new thing, but something like this?  Advantage of playing up north is that they can be pr… https://t.co/qnijuvWX22",971469393745055744,,"Boston, MA",,2018-03-07 19:35:27,albhood,590105800
1091,Live footage of me calling a snow day because I have pms https://t.co/4pfd7vjOo3,971469340565561344,,"Boston, MA",,2018-03-07 19:35:14,jessietron,56730674
1092,"Work cancelled for snow tonight, so happy 😊",971469257488945152,,"Boston, MA",,2018-03-07 19:34:54,EPM_ssb4,716695494785966080
1098,"#Update: The latest forecast for today's nor'easter calls for up to 10 inches of snow in Boston, which had hoped to… https://t.co/cYAdwH7uF8",971468987983912960,,"Boston, MA",,2018-03-07 19:33:50,BostonGlobe,95431448
1099,They made such a big deal about snow today and we haven't gotten any yet.,971468829300797440,,"Boston, MA",,2018-03-07 19:33:12,20bmg08,22524982
1100,@politicalhand @politicalhand @steph_foner and I can really relate to this. We've been updating our office on the h… https://t.co/IM5GlVaLyY,971468667010641920,,"Cambridge, MA",,2018-03-07 19:32:33,ZackMooney,451927126
1101,Snow In Manchester NH #NHSnow #masnow @wbznewsradio,971468506800840704,,"Boston, MA",,2018-03-07 19:31:55,Karynregal,54331696
1102,We’re swirling and sipping Lambrusco🍷👃with Angela Sini from @CantinaVolta rain or snow! (or… https://t.co/bpFH7qkRtn,971468304039768064,-71.06873,"Boston, MA",42.34346,2018-03-07 19:31:07,coppaboston,160304045
111,Northeastern women's basketball team pushes bus out of snow https://t.co/P4nJJXGruu https://t.co/eYYlTClBbM,971534238632652800,,"Boston, MA",,2018-03-07 23:53:07,WCVB,21419504
1110,Where is snow? But it is good!#MAsnow #Boston,971467578655887360,,"Boston, MA",,2018-03-07 19:28:14,BeBostonian,964631966590128128
1114,@silvereasteregg Thanks ! We're surprised because it's supposed to be really bad but it hasn't hit Boston yet . Sti… https://t.co/PTPiUeabWE,971467486230122496,,"Boston, MA",,2018-03-07 19:27:52,LivDwriter,2802719098
1115,this snow storm can frig off,971467395020869632,,Other Location,,2018-03-07 19:27:30,carrotcake1996,3058184994
1117,RT @abu_617: When Mother Nature trynna throw some snow days your way but global warming keeps turning it into rain https://t.co/1mHV0B7VJI,971467204423307264,,Other Location,,2018-03-07 19:26:45,ajkraz621,30702605
1118,I just realized..I'm not blacking out..I just keep missing stuff because of this stupid Nor'easter...it's a little… https://t.co/ZPEHacgx5J,971467166414405632,,"Boston, MA",,2018-03-07 19:26:36,Bella_Joolz,305250293
1119,Due to the storm the 3 PM session today is the ONLY offseason session! Still a chance to get work in before the sno… https://t.co/gEezCHZyIG,971467151382106112,,"Boston, MA",,2018-03-07 19:26:32,Q_Coach,383366763
1121,When Mother Nature trynna throw some snow days your way but global warming keeps turning it into rain https://t.co/1mHV0B7VJI,971466917662875648,,"Boston, MA",,2018-03-07 19:25:36,abu_617,589663239
1124,❄️A little snow isn't going to stop us tonight at @IconNightclub1. Not when we have @TychoMusic in the building... https://t.co/0bs6VdEMLb,971466627874283520,,"Boston, MA",,2018-03-07 19:24:27,FlavorMedia,255243876
1125,"For snow in coastal E MA, all about where this band sets up. If it sets up in the spot the HRRR says it will. Wides… https://t.co/DwxnIs9Mzw",971466558567534592,,Other Location,,2018-03-07 19:24:11,BostonMetroWx,717095249810735104
113,@NEweatherHQ Only rain at Rt.128/pike outside of Boston. Kids want a snow day.....but will it switch over to snow? 😬,971534206701592576,,"Boston, MA",,2018-03-07 23:52:59,revsuzanne,20097217
1130,Ten inches of snow?! https://t.co/IRI460t9vs,971466310050775040,,"Boston, MA",,2018-03-07 19:23:11,kayarcee,361533766
1131,successfully exchanged before the snow hit~~ ✌🏻,971466285845532672,,"Boston, MA",,2018-03-07 19:23:06,pawtism,1557235086
1132,#Thundersnow is just snow on Thundera where the Thundercats are from https://t.co/0i0v2EOfiJ,971466268250341376,,"Boston, MA",,2018-03-07 19:23:01,171and1,27030047
1135,"@IamApril317 I know, I refuse to believe it though. My strategy is to think the snow away😂😩 I cannot handle another… https://t.co/GzsejUH2zl",971466122099912704,,"Boston, MA",,2018-03-07 19:22:27,hell0nicci,372051564
1137,"RT @BethFratesMD: Almost 60 degrees and sunny in Boston today. Tomorrow--Nor'Easter to bring flooding, power outages, and heavy snow. News…",971466058279346176,,Other Location in MA,,2018-03-07 19:22:11,Belladonna1952,921550993048920064
1138,Ha and now the snow has completely stopped.,971465929988231168,,"Boston, MA",,2018-03-07 19:21:41,rumdawgg,33024872
1139,snow is bad for business,971465906072190976,,"Boston, MA",,2018-03-07 19:21:35,chrisbrookfn,92390455
1141,#MATraffic The Phone Force informs us of weather related delays on 93 north in Wilmington and Andover. Watch for bl… https://t.co/bv2kbdT4XN,971465580531372032,,"Boston, MA",,2018-03-07 19:20:18,WBZTraffic,410269419
1143,I prepared myself physically AND mentally for 15+ inches of snow and I know I didn’t pay anyone but I want a refund… https://t.co/jT7ZcYlPgI,971465484246843392,,"Boston, MA",,2018-03-07 19:19:55,hell0nicci,372051564
1148,It Remains A Tricky Forecast  Closer To The Coast In Determining Precise Snowfall. The Snow Line Should Collapse In… https://t.co/ma96OcQqDF,971464988928958464,,"Boston, MA",,2018-03-07 19:17:56,BarryWBZ,47979270
115,@BienickWCVB @WCVB It's seriously a slow news day around here... non stop tutorials on snow plow operations on the local news,971534166973132800,,"Boston, MA",,2018-03-07 23:52:50,AEBoston,902281949737254912
1152,"Reunited with #WeatherWarrior! First day back from a tropical vacation, so why not cover a snow storm? Live updates… https://t.co/x5xLwwIotm",971464842346467328,,"Boston, MA",,2018-03-07 19:17:22,MichaelPageWx,22547286
1153,"Wednesday, 3/7: Due to the snow, the Harvard Vanguard Concord &amp; Chelmsford practices will close early at 6pm today.… https://t.co/dGxZ04HJIA",971464800080363520,,"Boston, MA",,2018-03-07 19:17:11,atriushealth,128211271
116,RT @TBJ65: @growingwisdom @WX1BOX Seeing big snow flakes mixed with the rain in northern Franklin MA.,971534094290096128,,Other Location in MA,,2018-03-07 23:52:32,WX1BOX,24461387
1163,If this snow storm doesn’t pick up and give me a ton of snow I will sue Mother Nature,971464022355832832,,"Boston, MA",,2018-03-07 19:14:06,Anngerlin,455205864
1165,"#Boston’s top 5 sledding spots, according to a dad who visited 350 area parks
https://t.co/8sJOsfOF72 #parenting… https://t.co/48JWwdDPoq",971463794550591488,,"Boston, MA",,2018-03-07 19:13:12,Boston_Moms,28343796
1168,RT @WCVB: Worcester getting ready for Nor'easter's snow 'jackpot' https://t.co/jjB3mEn6YI https://t.co/I19rw2rk0A,971463736971145216,,Other Location,,2018-03-07 19:12:58,J_A_P_S_C_,1078663723
1171,"snow -&gt; light rain
temperature up 36°F -&gt; 37°F
humidity up 74% -&gt; 86%
wind 17mph -&gt; 24mph",971463616842022912,-71.06,"Boston, MA",42.36,2018-03-07 19:12:29,_BostonMA,108076943
1172,@JennaMHill No snow 🚫❄️☃️,971463612681383936,,"Boston, MA",,2018-03-07 19:12:28,jlmeds,281982334
1173,"So far it's... snaining? Gross sloppy sky spit, anyway. If they've called another snow day for a day we don't actua… https://t.co/C49bM7b2Uc",971463609380491264,,"Boston, MA",,2018-03-07 19:12:28,violaleanne226,872097732021936128
1175,I’m at #DoNotEnter #Snow Street. I wish #MotherNature would heed the signs. #StormCoverage #NBC10Boston https://t.co/g3tnbbOeER,971463490190929920,,"Boston, MA",,2018-03-07 19:11:59,susantran,17889737
1178,"@MommyFactor It's raining here now, but we are either getting just rain, a dusting of snow or a foot of snow.  No one seems to know....",971463230303416320,,"Boston, MA",,2018-03-07 19:10:57,massholemommy,43619502
1179,@GrumpyOldGrump @BillForry That pesky rain/snow line is a wild card.,971463158215954432,,"Boston, MA",,2018-03-07 19:10:40,chipsy231,222552743
118,"Meteorologist weather:

Snow possible anywhere from 0 to 145 inches. Maybe. Could start at 5,6,7,8,9 o'clock. Maybe… https://t.co/2ZcS5tbtn4",971533981006123008,,"Boston, MA",,2018-03-07 23:52:05,HeartEyes4Brady,119891888
1180,"#Boston also included in the #WinterStormWarning... Most snow will accumulate after dark, visibilitiy will be reduc… https://t.co/EoVyHoH5rA",971463154868916224,,"Boston, MA",,2018-03-07 19:10:39,sarahwroblewski,28888320
1182,"#MAtraffic: at 2pm, #MAsnow crews total 441 clearing, treating state roads as necessary. Roads wet to snow-covered… https://t.co/q0sD0nZbin",971463056931901440,,"Boston, MA",,2018-03-07 19:10:16,MassDOT,23595586
1183,"Had more than 100 of my @BostonSchools students do snow dances today, so I’ve Done All I Can Do to secure one last… https://t.co/w7klq1KLJ5",971463015760564224,,"Boston, MA",,2018-03-07 19:10:06,KristiBergner,3002159502
1184,RT @chipsy231: Thunder snow in NYC. https://t.co/3dbLwj3zZZ,971462892779442176,,Other Location in MA,,2018-03-07 19:09:37,minotlight143,446496957
1187,IDGAF how much snow we get as long as the @NHLFlyers are able to make it out here for the game tomorrow. #NHLBruins,971462715158953984,,"Boston, MA",,2018-03-07 19:08:54,agiraffes,3012388025
1188,Sitting at my desk begging for snow so they send us home early 🙏,971462707156307968,,"Boston, MA",,2018-03-07 19:08:52,FisherTwelve,18421506
1189,Thunder snow in NYC. https://t.co/3dbLwj3zZZ,971462687216553984,,"Boston, MA",,2018-03-07 19:08:48,chipsy231,222552743
119,If I don’t see at least 2inches of snow on the ground I’m never trusting a #meteorologist #SnowstormQuinn #noreaster boston ❄️ 🌧 😑,971533912026513408,,"Boston, MA",,2018-03-07 23:51:49,iamraydasilva,389863465
1193,"#Boston25 Meteorologist @ShiriSpear says the rain/snow line is starting to come into focus. That said, most locatio… https://t.co/Y7JNPrZVpm",971462070167359488,,"Boston, MA",,2018-03-07 19:06:21,boston25,19665244
1194,@KevinDoory I'm thinking we're going to get no snow so that should work. Are you here this weekend?,971461957453844480,,"Boston, MA",,2018-03-07 19:05:54,Casieg,21776669
1195,@Em_Bisonn it's snow,971461855779713024,,"Cambridge, MA",,2018-03-07 19:05:29,CaseyMalone,15782898
1196,The snow forecast changed ... again. The latest on the nor'easter: https://t.co/1Ugm1NY3bW https://t.co/WfLs97SvWm,971461810472804352,,"Boston, MA",,2018-03-07 19:05:19,BostonMagazine,14420767
1197,"@FredKiesche @PrinceJvstin @EldritchGirl We've had a few flakes so far, but the actual snow should be starting soon… https://t.co/XghvysVyqE",971461708169601024,,"Boston, MA",,2018-03-07 19:04:54,RichardPF,7718682
1198,Summary of the snow expected tonight in the Boston area. https://t.co/hCT2e254H4,971461701030772736,,"Cambridge, MA",,2018-03-07 19:04:53,interglossa,20905839
12,@MayorOfMalden I feel like Malden always never closes when it’s a snow storm I really don’t want to go to school tmr😑,971542318225510400,,Other Location in MA,,2018-03-08 00:25:13,Williamlewey,883723204526825472
1200,After off and on light snow all morning it is suddenly coming down faster and harder here in Tewksbury. https://t.co/euJdC9hlYy,971461682005532672,,"Boston, MA",,2018-03-07 19:04:48,rumdawgg,33024872
1202,RT @joshfunkbooks: Daughter is home early due to snow. I hear SCREAMING and hyperventilating and 'OMG's coming from the reading room. Appar…,971461499918184448,,Other Location,,2018-03-07 19:04:05,LiterallySmash,1220054232
1203,RT @NBC10Boston: Today's storm will bring heavy snow to some and rain and wind to others. See what to expect and when with this timeline --…,971461355407577088,,"Boston, MA",,2018-03-07 19:03:30,iDreamofJenn,339182089
1205,Today's storm will bring heavy snow to some and rain and wind to others. See what to expect and when with this time… https://t.co/VlIKbTeSDo,971461298851590144,,"Boston, MA",,2018-03-07 19:03:17,NBC10Boston,4746090250
1206,Snow to rain and back to snow here in #Natick. We will be live throughout the afternoon/evening with traffic update… https://t.co/R62T7gIUZJ,971461217670909952,,"Boston, MA",,2018-03-07 19:02:57,GaryBrodeNews,2249170832
1207,Craving some beach time amidst this snow and sleet? Take a peek at our Buzzard's Bay work in progress.… https://t.co/CQ8UhQbeKJ,971461140806078464,,"Boston, MA",,2018-03-07 19:02:39,CatalanoArch,1362013788
1212,"RT @ann_dalrymple: Dear #Boston weather people: snow does not ‘lay’ on the ground, and Cape Cod is not ‘the cape of Massachusetts’.",971460680036560896,,"Boston, MA",,2018-03-07 19:00:49,hrhjmm,1106507400
1213,Nothing like my first round of golf in 4 months to remind me how much I suck at that game. But at least I’m outside… https://t.co/zKGrhkOxXj,971460677876494336,,Other Location in MA,,2018-03-07 19:00:49,amolyajnik,42754358
1214,What’s up with that pesky rain-snow line? https://t.co/HhKAZkr2g4,971460496779079680,,"Boston, MA",,2018-03-07 19:00:05,BostonGlobe,95431448
1215,"Soo yea snow.. hurry up, I would like to leave work early 🤣🤣🤣",971460474285056000,,"Boston, MA",,2018-03-07 19:00:00,LILIwiththeEYES,106460226
1216,RT @PeteNBCBoston: According to @NWSBoston winds of this nature not seen since the Dec. 2005 snow blitz when gusts hit 100+ on Cape Cod. #h…,971460470510112768,,Other Location,,2018-03-07 18:59:59,PJD1855,2466709238
1218,RT @BitchWithA_W: wait I wasn't aware that thunder storms during snow wasn't something people were familiar with,971459772175343616,,Other Location in MA,,2018-03-07 18:57:13,JohnBechard,380608558
1219,"Cold beer, warm fire. Sounds like a great snow day plan to us! We’re #OpenInBos so you can post up with us when the… https://t.co/vIPcSfhSUt",971459694429655040,,Other Location in MA,,2018-03-07 18:56:54,BestBurgerBar1,863057903779033088
122,"@AMSweather @italianice89 @PeteNBCBoston @PeterLovasco No, He Has Flipped... He Is The Consummate Snow Lover Lately! LOL!",971533736113303552,,"Boston, MA",,2018-03-07 23:51:07,BarryWBZ,47979270
1221,"RT @hendrey: Today's snow = emptier-than-usual train and empty seats. #FilthRating: ""low"" on this seat! @OrangeLineProbs @LifeontheMBTA @mb…",971459606785425408,,Other Location in MA,,2018-03-07 18:56:33,lolMBTA,3023220035
1222,"RT @brodskyme: We also had a 18 hour @GoNUmbasketball trip from Boston to Richmond to play VCU in 1990 (""Revenge for the Rolando Lamb Game…",971459528310099968,,Other Location,,2018-03-07 18:56:15,onebidwonders,262339631
1224,"@JustinLonero May start as rain next few hours but change to all heavy, wet snow after 4 or 5pm and go hard through midnight",971459428359852032,,"Boston, MA",,2018-03-07 18:55:51,TerryWBZ,48377323
